zip,N_est_2000,N_est_2001,N_est_2002,N_est_2003,N_est_2004,N_est_2005,N_est_2006,N_est_2007,N_est_2008,N_est_2009,N_est_2010,N_est_2011,N_est_2012,longitude,latitude
10176,109,106,98,86,84,85,85,103,104,109,111,105,87,-73.9788646447,40.7554057518
10177,40,40,36,24,27,28,29,33,34,37,37,50,58,-73.97597769,40.7551560906
10178,78,77,72,67,63,70,69,73,68,74,75,67,72,-73.9777525072,40.7508837955
10270,48,53,51,48,49,43,40,46,41,37,22,15,17,-74.0077262837,40.7064696974
10271,109,111,101,97,100,100,100,93,90,86,85,84,97,-74.0105342751,40.7082321105
10278,12,13,9,7,8,7,6,7,7,10,12,11,11,-74.0041402078,40.715373152
10279,176,166,154,118,114,120,119,117,106,105,109,120,136,-74.0083518545,40.7124668721
10280,157,136,141,142,154,158,159,176,179,181,170,185,168,-74.0171811848,40.7081348577
10281,526,148,207,229,108,107,111,153,162,224,157,161,128,-74.0152906554,40.7123635409
10282,110,103,144,165,181,186,195,229,203,175,183,176,160,-74.0154511219,40.71630136
10285,594,29,24,25,27,22,24,20,19,17,25,29,24,-74.0148578211,40.7135645285
10286,21,19,20,28,33,33,37,40,38,46,44,46,30,-74.0091019022,40.7064728824
10301,602,612,607,637,624,634,632,624,643,623,657,671,675,-74.0960524039,40.6260924688
10302,360,351,353,359,379,368,380,386,398,392,398,406,415,-74.1380384455,40.6308086424
10303,332,317,330,338,347,350,357,369,376,371,393,411,389,-74.1680051953,40.6325491884
10304,552,543,543,575,599,613,624,600,622,637,646,645,639,-74.094086512,40.6053430902
10305,688,710,735,750,757,760,794,807,815,799,810,835,845,-74.0754546492,40.5950854051
10306,972,970,974,974,995,1027,1021,1037,1027,1045,1057,1079,1106,-74.1199919113,40.5650624723
10307,194,195,218,218,241,256,261,261,262,249,257,264,270,-74.242234645,40.5079579852
10308,343,356,367,374,387,379,386,399,386,397,405,406,417,-74.1512564675,40.5530062352
10309,535,533,587,584,603,646,677,700,687,649,686,699,746,-74.2182444831,40.5314039902
10310,424,437,453,436,446,456,460,472,466,464,485,470,495,-74.1156355026,40.6333571799
10312,777,820,794,824,831,860,821,842,847,837,842,860,864,-74.1789301981,40.5425149104
10314,1642,1615,1670,1698,1741,1814,1852,1861,1849,1817,1812,1807,1818,-74.1644402541,40.5960446739
10451,649,653,695,709,725,727,726,734,750,777,809,827,830,-73.9237330575,40.8207731245
10452,528,543,604,625,634,644,646,638,638,651,687,708,719,-73.9234324667,40.8377099701
10453,493,501,530,534,547,547,549,578,585,616,630,637,673,-73.9134439751,40.852579044
10454,491,503,543,552,559,554,557,555,569,578,577,555,605,-73.9162746108,40.8058432374
10455,518,526,556,574,590,613,639,634,663,660,675,660,690,-73.9075188324,40.8145624743
10456,428,439,477,501,494,496,491,517,541,548,581,590,612,-73.907803753,40.8301775731
10457,635,629,675,699,660,671,681,688,689,727,753,774,774,-73.8983496082,40.8457611099
10458,984,960,987,1000,993,1002,1010,962,999,1001,1033,1028,1033,-73.8860429835,40.862953805
10459,459,480,486,500,497,498,510,505,504,536,546,557,567,-73.8931616191,40.8256673552
10460,376,387,442,464,451,459,448,453,469,490,500,516,536,-73.8795725411,40.8419128184
10461,1104,1129,1186,1192,1219,1219,1212,1230,1237,1212,1220,1205,1230,-73.8408114962,40.8470003733
10462,954,942,992,968,991,993,972,970,969,1002,1020,1028,1034,-73.8612475301,40.8444675525
10463,935,934,959,969,982,988,983,1004,1006,1015,1025,1038,1059,-73.9076939616,40.8818440985
10463,935,934,959,969,982,988,983,1004,1006,1015,1025,1038,1059,-73.9105558779,40.8758757461
10464,147,152,155,154,162,155,154,152,149,149,145,139,141,-73.8044541485,40.8723474455
